,住居,電気代,ガス代,上下水道代金,和服,洋服,シャツ・セーター類,下着類,履物類,医薬品,交通費,通信費,教育費,教養娯楽,美容サービス,たばこ,
徳 島 市,"23,931","9,516","4,692","2,883",12,"4,388","2,661",809,"1,487","1,895","2,947","9,865","9,129","35,612","2,528","1,962",20.6
高 松 市,"11,871","9,575","4,334","3,918",484,"3,710","2,442",848,"1,179","1,953","4,007","11,945","7,293","25,801","3,035","1,678",22.1
松 山 市,"17,195","9,446","4,873","4,139",440,"4,006","1,965",936,"1,241","1,204","2,300","12,083","8,508","21,687","2,431",709,23.6
高 知 市,"18,832","9,381","5,355","3,827",140,"3,395","2,326",895,"1,164","2,115","3,830","12,217","7,200","28,143","2,769","1,481",22.3
福 岡 市,"19,904","7,127","5,415","3,833",89,"4,766","2,009","1,064","1,510","1,919","8,080","9,579","10,424","25,458","4,272","1,174",24.0
佐 賀 市,"13,782","7,457","3,834","3,743",14,"2,816","1,407",653,"1,172","2,005","2,249","9,970","4,929","20,252","2,369",970,24.4
長 崎 市,"21,402","7,380","5,105","4,788",11,"2,771","1,535",719,"1,137","1,667","6,390","9,623","3,098","17,859","2,098","1,359",24.7
熊 本 市,"28,254","7,691","4,271","3,446",13,"5,137","2,154",681,932,"1,483","2,470","9,918","5,475","18,959","2,302","1,095",22.0
大 分 市,"16,132","9,147","4,730","4,137",72,"3,227","2,074",761,"1,249","1,899","2,421","11,350","5,973","24,755","2,763","1,399",23.2
宮 崎 市,"15,150","7,587","3,923","3,624",132,"2,307","2,213",834,"1,294","2,259","3,052","9,673","3,807","20,402","2,005",538,23.2
鹿児島市,"22,157","8,204","4,939","3,598",203,"4,398","2,212",969,"1,373","1,851","4,292","12,957","12,975","27,658","2,585",633,20.7
那 覇 市,"23,070","7,936","4,149","3,960",38,"1,742",871,443,771,"1,334","2,994","9,427","4,904","13,361",932,"1,336",26.8
川 崎 市,"44,365","8,957","5,541","3,735",529,"7,144","2,773","1,002","2,054","1,946","8,298","9,397","15,887","31,116","3,344","1,925",22.7
相模原市,"18,163","9,064","4,578","3,650",166,"3,010","1,514",874,"1,259","1,883","6,106","8,002","6,608","28,183","3,160",874,24.1
浜 松 市,"21,263","8,729","5,168","3,324",79,"3,375","2,312",797,"1,179","1,808","5,931","9,512","5,426","25,673","3,891","1,587",23.2
堺 市,"15,167","9,248","6,163","4,406",10,"4,876","1,863",850,932,"1,849","4,766","9,578","6,414","28,394","2,885","1,012",25.8
北九州市,"14,396","7,937","4,634","3,316",44,"3,426","1,587",720,"1,062","2,172","4,231","8,313","4,260","18,942","2,509","1,024",26.2
